employee_id,manager_id,business_area,core_minutes,start_date,end_date,balance_minutes,created_at,updated_at,staff_number,grade
9155e493-0990-416b-9a7d-0056bd586c6f,31fda0a2-21b2-4488-a804-f2d8e13e0848,"Operations",2220,2021-10-18 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:31.3400000,2022-05-13 13:30:53.8500000,"50424351","EO"
82b91145-c2db-4481-9e69-0089a4a55489,fd46c6ae-5a46-4e0b-86f7-b8d25bf82dad,"Operations",2220,2021-12-01 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:26.0833333,2022-12-20 10:40:38.4566667,"00500638","BAND 3"
38052d70-861f-4196-9217-00d817477bea,,"Corporate Services",2220,2022-01-05 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-05-13 13:30:54.9833333,,"50426251","SEO"
6488302d-565c-4bb6-adf6-013c5cf5e22e,21721b65-d5e1-4808-8a4a-dc32bb67d510,"Corporate Services",2220,2020-08-04 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:30.7166667,2022-05-13 13:30:53.3166667,"50423746","SEO"
41bd5cc9-87c8-4d7c-9b0e-01faa77f1604,ca64df20-5931-479b-822d-b4cef7a6b9d6,"Operations",2220,2021-07-01 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:28.3833333,2022-05-13 13:30:50.9700000,"50410582","AO"
619b26c0-203e-48db-bb50-026c8738d00e,b5f3d7f7-346e-43f2-b2bb-3dd23c095e8d,"Operations",2220,2020-07-01 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:26.8200000,2022-12-20 10:40:39.3600000,"00500798","BAND 2"
ead7f5fe-c740-454c-8d8d-0296feed752e,9d52d504-8329-4017-a619-a1ebc97806d1,"Operations",2220,2022-10-24 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:26.5533333,2022-12-20 10:40:39.0333333,"00500727","BAND 2"
5842fc60-edc7-4289-9081-02cbf94b3ee3,a9b0ac24-efa6-41e3-9eeb-a89a078ae205,"Operations",2220,2021-12-01 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:27.1166667,2022-12-20 10:40:39.7033333,"00500836","BAND 3"
fcf66fb7-2fbc-4785-aa54-02cd5e6b139b,b13b72c3-687e-4a1f-bddc-24364542533c,"Operations",2220,2020-04-01 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:23.8800000,2022-05-13 13:30:46.3466667,"00500129","HEO"
240b3c21-768b-4748-99db-02df8f56957a,4a6cb11c-88bd-4c85-9e46-36151a208b0f,"Operations",2220,2022-08-01 00:00:00.0000000,9999-12-31 00:00:00.0000000,0,2022-03-31 14:07:29.8100000,2022-12-20 10:40:42.6100000,"50422336","BAND 1"
